gene_id,gene_name,knockout_flux,baseline_flux,flux_ratio,growth_pct,impact,status,num_reactions,reactions
5130_AT1,PCYT1A,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,CHLPCTD
522_AT2,ATP5J,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,ATPS4m
7381_AT1,UQCRB,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,CYOR_u10m
498_AT2,ATP5A1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,ATPS4m
8714_AT3,ABCC3,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,4,ESTRONEGLCt;CHOLATEt3;GCHOLAt3;TCHOLAt3
506_AT1,ATP5B,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,ATPS4m
522_AT4,ATP5J,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,ATPS4m
23657_AT1,SLC7A11,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,CYSTGLUex
1119_AT1,CHKA,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,CHOLK;ETHAK
83549_AT1,UCK1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,URIK1;CYTDK1
1120_AT2,CHKB,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,CHOLK
516_AT2,ATP5G1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,ATPS4m
7371_AT1,UCK2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,URIK1;CYTDK1
9551_AT1,ATP5J2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,ATPS4m
